honest_model sybil_model model n_H m_H n_S m_S n m type algorithm attack attack_edges_bi attack_edges_to_sybil attack_edges_to_honest attack_edges_total attack_edges_per_sybil train_fraction_honest train_fraction_sybil n_H_train n_H_test n_S_train n_S_test AUC accuracy F1
"PowerLaw(m=6, p=0.8)" "PowerLaw(m=6, p=0.8)" "PowerLaw(m=6, p=0.8)" 1000 5956 1000 5950 2000 33812 directed SybilGAT-L4 RandomAttack 5000 0 0 5000 5.0 0.05 0.05 50 950 50 950 0.8689948 0.6626315789473685 0.504448997052293
"PowerLaw(m=6, p=0.8)" "PowerLaw(m=6, p=0.8)" "PowerLaw(m=6, p=0.8)" 1000 5956 1000 5950 2000 16906 undirected SybilRank RandomAttack 5000 0 0 5000 5.0 0.05 0.05 50 950 50 950 0.883189 0.5 0.0
"PowerLaw(m=6, p=0.8)" "PowerLaw(m=6, p=0.8)" "PowerLaw(m=6, p=0.8)" 1000 5956 1000 5950 2000 16906 undirected SybilBelief RandomAttack 5000 0 0 5000 5.0 0.05 0.05 50 950 50 950 0.5035518000000001 0.5 0.5333333333333333
"PowerLaw(m=6, p=0.8)" "PowerLaw(m=6, p=0.8)" "PowerLaw(m=6, p=0.8)" 1000 5956 1000 5950 2000 16906 undirected SybilSCAR RandomAttack 5000 0 0 5000 5.0 0.05 0.05 50 950 50 950 0.7899744 0.5570526315789474 0.312608436788843
"PowerLaw(m=6, p=0.8)" "PowerLaw(m=6, p=0.8)" "PowerLaw(m=6, p=0.8)" 1000 5956 1000 5950 2000 35812 directed SybilGAT-L2 RandomAttack 6000 0 0 6000 6.0 0.05 0.05 50 950 50 950 0.7882455 0.5113684210526315 0.04808852201351269
"PowerLaw(m=6, p=0.8)" "PowerLaw(m=6, p=0.8)" "PowerLaw(m=6, p=0.8)" 1000 5956 1000 5950 2000 35812 directed SybilGAT-L4 RandomAttack 6000 0 0 6000 6.0 0.05 0.05 50 950 50 950 0.8156720999999999 0.6013684210526316 0.36700143484645625
"PowerLaw(m=6, p=0.8)" "PowerLaw(m=6, p=0.8)" "PowerLaw(m=6, p=0.8)" 1000 5956 1000 5950 2000 17906 undirected SybilRank RandomAttack 6000 0 0 6000 6.0 0.05 0.05 50 950 50 950 0.7857145999999999 0.5 0.0
"PowerLaw(m=6, p=0.8)" "PowerLaw(m=6, p=0.8)" "PowerLaw(m=6, p=0.8)" 1000 5956 1000 5950 2000 17906 undirected SybilBelief RandomAttack 6000 0 0 6000 6.0 0.05 0.05 50 950 50 950 0.5062176 0.5 0.5333333333333333
"PowerLaw(m=6, p=0.8)" "PowerLaw(m=6, p=0.8)" "PowerLaw(m=6, p=0.8)" 1000 5956 1000 5950 2000 17906 undirected SybilSCAR RandomAttack 6000 0 0 6000 6.0 0.05 0.05 50 950 50 950 0.7358977999999999 0.5376842105263158 0.2740867732477278
"PowerLaw(m=6, p=0.8)" "PowerLaw(m=6, p=0.8)" "PowerLaw(m=6, p=0.8)" 1000 5956 1000 5950 2000 37812 directed SybilGAT-L2 RandomAttack 7000 0 0 7000 7.0 0.05 0.05 50 950 50 950 0.7421853 0.5086315789473683 0.03854921298672868
"PowerLaw(m=6, p=0.8)" "PowerLaw(m=6, p=0.8)" "PowerLaw(m=6, p=0.8)" 1000 5956 1000 5950 2000 37812 directed SybilGAT-L4 RandomAttack 7000 0 0 7000 7.0 0.05 0.05 50 950 50 950 0.7717704000000001 0.6181052631578948 0.44487054260422443
"PowerLaw(m=6, p=0.8)" "PowerLaw(m=6, p=0.8)" "PowerLaw(m=6, p=0.8)" 1000 5956 1000 5950 2000 18906 undirected SybilRank RandomAttack 7000 0 0 7000 7.0 0.05 0.05 50 950 50 950 0.6885974 0.5 0.0
"PowerLaw(m=6, p=0.8)" "PowerLaw(m=6, p=0.8)" "PowerLaw(m=6, p=0.8)" 1000 5956 1000 5950 2000 18906 undirected SybilBelief RandomAttack 7000 0 0 7000 7.0 0.05 0.05 50 950 50 950 0.5053278999999999 0.5 0.5333333333333333
"PowerLaw(m=6, p=0.8)" "PowerLaw(m=6, p=0.8)" "PowerLaw(m=6, p=0.8)" 1000 5956 1000 5950 2000 18906 undirected SybilSCAR RandomAttack 7000 0 0 7000 7.0 0.05 0.05 50 950 50 950 0.6911044000000001 0.5275789473684211 0.25672093119555417
"PowerLaw(m=6, p=0.8)" "PowerLaw(m=6, p=0.8)" "PowerLaw(m=6, p=0.8)" 1000 5956 1000 5950 2000 39812 directed SybilGAT-L2 RandomAttack 8000 0 0 8000 8.0 0.05 0.05 50 950 50 950 0.728936 0.5069473684210527 0.030541401493215235
"PowerLaw(m=6, p=0.8)" "PowerLaw(m=6, p=0.8)" "PowerLaw(m=6, p=0.8)" 1000 5956 1000 5950 2000 39812 directed SybilGAT-L4 RandomAttack 8000 0 0 8000 8.0 0.05 0.05 50 950 50 950 0.734957 0.5990526315789474 0.4289538601734596
"PowerLaw(m=6, p=0.8)" "PowerLaw(m=6, p=0.8)" "PowerLaw(m=6, p=0.8)" 1000 5956 1000 5950 2000 19906 undirected SybilRank RandomAttack 8000 0 0 8000 8.0 0.05 0.05 50 950 50 950 0.5918648 0.5 0.0
"PowerLaw(m=6, p=0.8)" "PowerLaw(m=6, p=0.8)" "PowerLaw(m=6, p=0.8)" 1000 5956 1000 5950 2000 19906 undirected SybilBelief RandomAttack 8000 0 0 8000 8.0 0.05 0.05 50 950 50 950 0.5038099 0.5 0.5333333333333333
"PowerLaw(m=6, p=0.8)" "PowerLaw(m=6, p=0.8)" "PowerLaw(m=6, p=0.8)" 1000 5956 1000 5950 2000 19906 undirected SybilSCAR RandomAttack 8000 0 0 8000 8.0 0.05 0.05 50 950 50 950 0.6531201999999999 0.517157894736842 0.24824864265872176
"PowerLaw(m=6, p=0.8)" "PowerLaw(m=6, p=0.8)" "PowerLaw(m=6, p=0.8)" 1000 5956 1000 5950 2000 41812 directed SybilGAT-L2 RandomAttack 9000 0 0 9000 9.0 0.05 0.05 50 950 50 950 0.7161962000000001 0.5098947368421053 0.04782194167104135
"PowerLaw(m=6, p=0.8)" "PowerLaw(m=6, p=0.8)" "PowerLaw(m=6, p=0.8)" 1000 5956 1000 5950 2000 41812 directed SybilGAT-L4 RandomAttack 9000 0 0 9000 9.0 0.05 0.05 50 950 50 950 0.7066269999999999 0.5745263157894737 0.3623474253055038
"PowerLaw(m=6, p=0.8)" "PowerLaw(m=6, p=0.8)" "PowerLaw(m=6, p=0.8)" 1000 5956 1000 5950 2000 20906 undirected SybilRank RandomAttack 9000 0 0 9000 9.0 0.05 0.05 50 950 50 950 0.5015898 0.5 0.0
