,honest_size,sybil_size,algorithm,AUC_mean,AUC_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,F1_mean,F1_std,runtime_mean,runtime_std,pretrain_runtime_mean,pretrain_runtime_std
0,1000,2000,SybilRank,0.7182474,0.027624210318848916,0.6507368421052632,0.020775485707967695,0.8149229039991187,0.020475489410223573,0.616,0.015983370859875643,0.7016295006266986,0.017856655655409937,157.2,2.85657137141714,,
1,1000,2000,SybilBelief,0.2269254,0.003916611678479239,0.6666666666666666,0.0,0.6666666666666666,0.0,1.0,0.0,0.8,0.0,100.4,6.468384651518491,,
2,1000,2000,SybilSCAR,0.6293187,0.006908540624473447,0.6650526315789473,0.0014139959073410432,0.6667892700138401,0.001074232223988668,0.9946315789473683,0.004908018200789353,0.7983573748329846,0.001263148902703136,61.6,2.5768197453450252,,
3,1000,2000,SybilGCN-L2,0.67655715,0.008136988923428685,0.36133333333333334,0.011973912342791701,0.9532128109828457,0.022712137915097907,0.044631578947368425,0.020265276717657058,0.08445150376878344,0.03633563793048856,10990.4,433.755046080158,,
4,1000,2000,SybilGCN-L4,0.47015740000000006,0.008434348888029231,0.4585964912280701,0.02614918018791117,0.6174519998617771,0.010256033354679209,0.48989473684210527,0.07465184195266185,0.5436000628539973,0.051881164275859475,18782.6,794.0865444018051,,
5,1000,2000,SybilGCN-L8,0.2105165,0.008398753772137862,0.327578947368421,0.02121875973874824,inf,,0.04526315789473684,0.04420175351556107,0.07556650516830904,0.06913931853081674,203438.2,365875.39377574984,,
6,1000,2000,SybilRGCN-L2,0.7333175,0.03139883855336048,0.36750877192982456,0.011414245957247687,0.9694678283764822,0.0135166327588481,0.05305263157894737,0.017960868514187545,0.10001060530420607,0.032424325103866065,13214.8,387.48646427972164,,
7,1000,2000,SybilGAT-L2,0.69547855,0.07378073320579706,0.37607017543859644,0.018015280269159342,0.9127421216199842,0.1182340859462681,0.08326315789473684,0.05569346256835883,0.14453589478635548,0.08378477469983295,4558.6,2114.071389523069,,
8,1000,2000,SybilGAT-L4,0.7008385500000001,0.02020502083604465,0.5214736842105263,0.07211952733797808,0.8752096530700154,0.053404655376462815,0.34389473684210525,0.1663729415460049,0.4671615410434081,0.14061568825794546,1885.6,415.64629193582374,,
9,1000,2000,SybilGAT-L8,0.56584225,0.10301116437430459,0.4727017543859649,0.1066286635902648,inf,,0.28210526315789475,0.22226733921811925,0.3619415005691964,0.26104284448079107,2208.4,514.6340835972682,,
10,1000,4000,SybilRank,0.48191569999999995,0.03155247957467049,0.48454736842105267,0.01700322928429135,0.7823639054632374,0.016525129858658914,0.49273684210526314,0.011020756040849075,0.604656821673097,0.013225875115679336,281.2,3.867815921162743,,
11,1000,4000,SybilBelief,0.07368825,0.0019218610706812286,0.8,0.0,0.8,0.0,1.0,0.0,0.888888888888889,1.1102230246251565e-16,146.4,1.8547236990991407,,
12,1000,4000,SybilSCAR,0.56639225,0.016477113035207352,0.8,0.0,0.8,0.0,1.0,0.0,0.888888888888889,1.1102230246251565e-16,100.8,1.7204650534085253,,
13,1000,4000,SybilGCN-L2,0.528192825,0.008329577566794755,0.24176842105263158,0.007093955915165792,0.8840384247935958,0.016520237033554108,0.06036842105263157,0.011586839415709071,0.11272418391884602,0.02010683299930715,15548.0,1787.7078061025522,,
14,1000,4000,SybilGCN-L4,0.096131875,0.0064021502959943095,0.24585263157894738,0.1074725109477688,0.5181458789994624,0.14909751349731687,0.21810526315789475,0.20136531210629993,0.2719151212609287,0.22001815065690059,138445.4,196344.4638920079,,
15,1000,4000,SybilGCN-L8,0.06557135,0.002314661714484429,0.20252631578947367,0.003423238168282577,inf,,0.004421052631578948,0.006188184613346976,0.00869434367145994,0.012134374421434353,114742.4,124232.65565317357,,
16,1000,4000,SybilRGCN-L2,0.723205275,0.018263440875729033,0.2926736842105263,0.08185585871914239,0.9814822250134686,0.019659362072512315,0.12026315789473682,0.10882118296313381,0.19793992988223924,0.15566608714867336,213595.2,395311.7763180855,,
17,1000,4000,SybilGAT-L2,0.6198927750000001,0.06614835510121359,0.47654736842105266,0.13080097418461925,0.8612721882579042,0.0483766878439839,0.42257894736842105,0.2166762523627131,0.5327890221940029,0.17306691760167345,7202.0,1575.5545055630414,,
18,1000,4000,SybilGAT-L4,0.61298185,0.030867203455731133,0.42981052631578953,0.05147402432349157,0.9282064497964315,0.02837552235468696,0.3143157894736842,0.08012327759264698,0.46244311030711494,0.08707887336765527,480871.2,490872.7891087059,,
19,1000,4000,SybilGAT-L8,0.5,0.0,0.2,0.0,inf,,0.0,0.0,0.0,0.0,873387.4,171329.08855252806,,
20,1000,6000,SybilRank,0.43096290000000004,0.024269913896427422,0.46222556390977443,0.012226738376384444,0.817699682379725,0.011470731382017589,0.47947368421052633,0.007794687681236157,0.6044911357538475,0.009323136547586578,399.2,8.28009661779378,,
21,1000,6000,SybilBelief,0.0379836,0.0009170806495493036,0.8571428571428571,0.0,0.8571428571428571,0.0,1.0,0.0,0.9230769230769231,0.0,204.4,13.484806264830059,,
22,1000,6000,SybilSCAR,0.5330717666666667,0.012381095346714891,0.8571428571428571,0.0,0.8571428571428571,0.0,1.0,0.0,0.9230769230769231,0.0,293.0,285.72364270392467,,
23,1000,6000,SybilGCN-L2,0.4048329,0.00816968615122051,0.19948872180451127,0.01918353827249767,0.7902811761273523,0.02527744805411706,0.09189473684210527,0.03506444842349691,0.1620513666328976,0.055721139460616825,20063.0,1122.0288766337524,,
