,honest_size,sybil_size,algorithm,seed,AUC,accuracy,precision,recall,F1,runtime,pretrain_runtime
0,1000,2000,SybilRank,42,0.6745025,0.6157894736842106,0.7800974251913709,0.59,0.6718609529517531,162,
1,1000,2000,SybilBelief,42,0.22233550000000002,0.6666666666666666,0.6666666666666666,1.0,0.8,106,
2,1000,2000,SybilSCAR,42,0.629249,0.6652631578947369,0.668807994289793,0.9863157894736843,0.7971076137813696,66,
3,1000,2000,SybilGCN-L2,42,0.668797,0.38105263157894737,0.9146341463414634,0.07894736842105263,0.14534883720930233,10432,
4,1000,2000,SybilGCN-L4,42,0.46952800000000006,0.4150877192982456,0.6019247594050744,0.36210526315789476,0.45218534341110744,17710,
5,1000,2000,SybilGCN-L8,42,0.19486525000000002,0.3333333333333333,inf,0.0,0.0,30280,
6,1000,2000,SybilRGCN-L2,42,0.6777125,0.3684210526315789,0.9464285714285714,0.05578947368421053,0.10536779324055666,12903,
7,1000,2000,SybilGAT-L2,42,0.6380444999999999,0.3782456140350877,0.9266666666666666,0.0731578947368421,0.13560975609756099,1466,
8,1000,2000,SybilGAT-L4,42,0.6931955000000001,0.4392982456140351,0.9415204678362573,0.1694736842105263,0.2872435325602141,1678,
9,1000,2000,SybilGAT-L8,42,0.63426225,0.5771929824561404,0.7516292541636496,0.5463157894736842,0.6327339225845778,1644,
10,1000,2000,SybilRank,43,0.699791,0.6389473684210526,0.8051857042747022,0.6047368421052631,0.690712353471596,155,
11,1000,2000,SybilBelief,43,0.233784,0.6666666666666666,0.6666666666666666,1.0,0.8,88,
12,1000,2000,SybilSCAR,43,0.641896,0.6663157894736842,0.6665496665496665,0.9994736842105263,0.7997473152242578,62,
13,1000,2000,SybilGCN-L2,43,0.6717154999999999,0.3564912280701754,0.9714285714285714,0.035789473684210524,0.06903553299492386,11390,
14,1000,2000,SybilGCN-L4,43,0.4559615,0.44842105263157894,0.6096256684491979,0.48,0.5371024734982333,18120,
15,1000,2000,SybilGCN-L8,43,0.216654,0.28596491228070176,0.3853989813242784,0.11947368421052632,0.18240257131378063,8769,
16,1000,2000,SybilRGCN-L2,43,0.7436929999999999,0.38421052631578945,0.9617834394904459,0.07947368421052632,0.14681575109382597,13045,
17,1000,2000,SybilGAT-L2,43,0.728352,0.3824561403508772,0.9861111111111112,0.07473684210526316,0.13894324853228962,2917,
18,1000,2000,SybilGAT-L4,43,0.7082822499999999,0.5119298245614035,0.9165302782324058,0.29473684210526313,0.4460374352847471,1760,
19,1000,2000,SybilGAT-L8,43,0.682389,0.6,0.8310104529616724,0.5021052631578947,0.6259842519685039,1823,
20,1000,2000,SybilRank,44,0.726028,0.6617543859649123,0.8245492371705964,0.6257894736842106,0.7115499700777977,155,
21,1000,2000,SybilBelief,44,0.22774149999999999,0.6666666666666666,0.6666666666666666,1.0,0.8,102,
22,1000,2000,SybilSCAR,44,0.626955,0.6649122807017543,0.6663146779303062,0.9963157894736843,0.7985657034380932,59,
23,1000,2000,SybilGCN-L2,44,0.6728689999999999,0.3687719298245614,0.954954954954955,0.05578947368421053,0.10542018896071606,10522,
24,1000,2000,SybilGCN-L4,44,0.46777325000000003,0.48526315789473684,0.6229415105053947,0.5773684210526315,0.5992898115269052,18751,
25,1000,2000,SybilGCN-L8,44,0.21427800000000002,0.3333333333333333,inf,0.0,0.0,37564,
26,1000,2000,SybilRGCN-L2,44,0.7435114999999999,0.3712280701754386,0.9821428571428571,0.05789473684210526,0.10934393638170974,13430,
27,1000,2000,SybilGAT-L2,44,0.77191825,0.34385964912280703,1.0,0.015789473684210527,0.031088082901554404,7227,
28,1000,2000,SybilGAT-L4,44,0.6676372500000001,0.5105263157894737,0.8482758620689655,0.3236842105263158,0.4685714285714286,1675,
29,1000,2000,SybilGAT-L8,44,0.6229199999999999,0.48140350877192983,0.7922437673130194,0.30105263157894735,0.43630816170861936,2331,
30,1000,2000,SybilRank,45,0.7423045,0.6642105263157895,0.8258465791292329,0.6289473684210526,0.7140723035554227,159,
31,1000,2000,SybilBelief,45,0.22412449999999998,0.6666666666666666,0.6666666666666666,1.0,0.8,105,
32,1000,2000,SybilSCAR,45,0.6208255,0.6624561403508772,0.6656073446327684,0.9921052631578947,0.7967032967032966,62,
33,1000,2000,SybilGCN-L2,45,0.677592,0.34982456140350876,0.9795918367346939,0.02526315789473684,0.04925602873268343,11467,
34,1000,2000,SybilGCN-L4,45,0.47881075,0.4589473684210526,0.6222677595628415,0.47947368421052633,0.5416171224732461,19638,
35,1000,2000,SybilGCN-L8,45,0.20895575,0.34280701754385967,0.5706806282722513,0.057368421052631575,0.10425633668101388,5794,
36,1000,2000,SybilRGCN-L2,45,0.7283385,0.3649122807017544,0.9787234042553191,0.04842105263157895,0.09227683049147442,13869,
37,1000,2000,SybilGAT-L2,45,0.58108025,0.3992982456140351,0.6814671814671814,0.18578947368421053,0.2919768403639371,6237,
38,1000,2000,SybilGAT-L4,45,0.7059789999999999,0.4898245614035088,0.8805460750853242,0.27157894736842103,0.415124698310539,1604,
39,1000,2000,SybilGAT-L8,45,0.47829699999999997,0.37157894736842106,0.943089430894309,0.061052631578947365,0.11468116658428078,2122,
40,1000,2000,SybilRank,46,0.7486109999999999,0.6729824561403509,0.8389355742296919,0.6305263157894737,0.7199519230769231,155,
41,1000,2000,SybilBelief,46,0.2266415,0.6666666666666666,0.6666666666666666,1.0,0.8,101,
42,1000,2000,SybilSCAR,46,0.627668,0.6663157894736842,0.6666666666666666,0.9989473684210526,0.799662945017906,59,
43,1000,2000,SybilGCN-L2,46,0.6918122500000001,0.3505263157894737,0.9454545454545454,0.02736842105263158,0.05319693094629156,11141,
44,1000,2000,SybilGCN-L4,46,0.4787135,0.48526315789473684,0.6305003013863774,0.5505263157894736,0.5878055633604945,19694,
45,1000,2000,SybilGCN-L8,46,0.2178295,0.3424561403508772,0.5802469135802469,0.049473684210526316,0.09117361784675072,934784,
46,1000,2000,SybilRGCN-L2,46,0.7733319999999999,0.3487719298245614,0.9782608695652174,0.02368421052631579,0.046248715313463515,12827,
47,1000,2000,SybilGAT-L2,46,0.75799775,0.37649122807017543,0.9694656488549618,0.0668421052631579,0.12506154603643527,4946,
48,1000,2000,SybilGAT-L4,46,0.72909875,0.6557894736842105,0.789175582127124,0.66,0.7188306104901118,2711,
49,1000,2000,SybilGAT-L8,46,0.411343,0.3333333333333333,inf,0.0,0.0,3122,
50,1000,4000,SybilRank,42,0.52558325,0.5046315789473684,0.8023401587964898,0.5052631578947369,0.6200549006943323,276,
51,1000,4000,SybilBelief,42,0.07320800000000001,0.8,0.8,1.0,0.8888888888888888,144,
52,1000,4000,SybilSCAR,42,0.56508725,0.8,0.8,1.0,0.8888888888888888,100,
53,1000,4000,SybilGCN-L2,42,0.52449175,0.23410526315789473,0.8932038834951457,0.04842105263157895,0.09186220668996506,17944,
54,1000,4000,SybilGCN-L4,42,0.09438250000000001,0.32442105263157894,0.6192012908430818,0.4039473684210526,0.4889313584965759,32113,
