,variant,algorithm,seed,AUC,accuracy,precision,recall,F1,runtime,pretrain_runtime
0,FB,SybilRank,42,0.4608254836151272,0.4341914955163437,0.4378066378066378,0.4357943119793163,0.4367981572127843,1066,
1,FB,SybilBelief,42,0.6118221470025343,0.620480185131617,0.9376915219611848,0.2637173226084458,0.4116591928251121,1737,
2,FB,SybilSCAR,42,0.6417952153075294,0.5535146080416546,0.6090808416389811,0.3160011490950876,0.4161149990542841,691,
3,FB,SybilGCN_L2_noDropout,42,0.8034296863638639,0.6311831067399479,0.8837592745259687,0.3079574834817581,0.4567533020877716,206,5709.0
4,FB,SybilGCN_L4_noDropout,42,0.676339650183053,0.580271912062482,0.5696080788651118,0.6805515656420569,0.6201570680628272,253,8985.0
5,FB,SybilGCN_L8_noDropout,42,0.5155326738798272,0.5921319062771189,0.5565634092075988,0.9342143062338408,0.6975546975546976,320,3667.0
6,FB,SybilRGCN_L2_noDropout,42,0.7073569137370106,0.5673994793173271,0.6767676767676768,0.2694627980465383,0.3854530511608794,2431,6577.0
7,FB,SybilGAT_L2,42,0.734290727322225,0.644778709864044,0.605344295991778,0.8460212582591209,0.7057272945123413,301,1717.0
8,FB,SybilGAT_L4,42,0.5958528942605996,0.5420885160543825,0.5334040296924708,0.7224935363401321,0.6137140068326012,458,924.0
9,FB,SybilGAT_L8,42,0.4583869220645444,0.5914087358981777,0.5539651201052977,0.9672507900028728,0.704466994455487,846,1229.0
10,FB,SybilRank,43,0.3823245183748249,0.3540309740917643,0.3576158940397351,0.3575129533678756,0.3575644162948035,998,
11,FB,SybilBelief,43,0.6163955564897485,0.6045737443913736,0.5598001289490652,0.9997121473805411,0.7177102707170903,1649,
12,FB,SybilSCAR,43,0.6409295482778288,0.5526125343754523,0.5399041466972286,0.7458261370178468,0.626374954671824,694,
13,FB,SybilGCN_L2_noDropout,43,0.8143743476853527,0.6904038211029092,0.8260869565217391,0.4867587795048935,0.6125701865604057,196,5105.0
14,FB,SybilGCN_L4_noDropout,43,0.6816448399934687,0.5513098856563902,0.5508705114254625,0.582901554404145,0.5664335664335665,244,8462.0
15,FB,SybilGCN_L8_noDropout,43,0.6899400275324639,0.6060211318569981,0.5863177226813591,0.7351755900978699,0.6523627075351214,277,15329.0
16,FB,SybilRGCN_L2_noDropout,43,0.4749029955060372,0.4227818787089303,0.4023556231003039,0.3048359240069084,0.3468719292499181,2253,6080.0
17,FB,SybilGAT_L2,43,0.7561629499959066,0.6510348820379216,0.7222919280635717,0.4971214738054116,0.588917306052856,283,1281.0
18,FB,SybilGAT_L4,43,0.6151188470565127,0.6287451150673035,0.975916230366492,0.2682786413356361,0.4208624971776925,464,1646.0
19,FB,SybilGAT_L8,43,0.4966409531553151,0.5817050224345057,0.546422893481717,0.989349453080023,0.7040147480540762,820,1338.0
20,FB,SybilRank,44,0.4991071305602292,0.48763199768552,0.4811921296296296,0.4873974208675263,0.4842748980780431,1018,
21,FB,SybilBelief,44,0.7054411307772602,0.604947200925792,0.6452025586353944,0.4434349355216881,0.5256209831509466,1685,
22,FB,SybilSCAR,44,0.6318595400364049,0.5452046868219297,0.5567315834038951,0.3854044548651817,0.4554901281607205,744,
23,FB,SybilGCN_L2_noDropout,44,0.8153502637744731,0.6130478808042817,0.9240506329113924,0.2353458382180539,0.3751459939266526,230,5809.0
24,FB,SybilGCN_L4_noDropout,44,0.7142625582514258,0.6014754809778677,0.6061389337641357,0.5498241500586166,0.5766098048255724,224,9582.0
25,FB,SybilGCN_L8_noDropout,44,0.6969437364365043,0.5962679010559815,0.6187380497131931,0.4742086752637749,0.536917205906753,302,17315.0
26,FB,SybilRGCN_L2_noDropout,44,0.7712800171445462,0.6852307247215391,0.756006628003314,0.5348769050410317,0.6265018880878819,2273,6475.0
27,FB,SybilGAT_L2,44,0.768149487790035,0.6386518154202228,0.7400210084033614,0.4129542790152403,0.5300978179082017,288,735.0
28,FB,SybilGAT_L4,44,0.6279137063896579,0.5415883118761753,0.5330612244897959,0.5741500586166471,0.5528432340905884,445,4327.0
29,FB,SybilGAT_L8,44,0.4686148332712559,0.5780413713293794,0.5419704934712566,0.936694021101993,0.6866473305403373,851,1868.0
30,FB,SybilRank,45,0.4410564713466594,0.4229934924078091,0.4202604920405209,0.4222157603954638,0.4212358572671889,1026,
31,FB,SybilBelief,45,0.5905621560108534,0.5916124367317426,1.0,0.1788310555394009,0.3034040453872718,1681,
32,FB,SybilSCAR,45,0.623678937914357,0.5525668835864064,0.6344505066250974,0.2366967141610933,0.3447691656077933,748,
33,FB,SybilGCN_L2_noDropout,45,0.810107776330066,0.6843094721619667,0.7888684452621895,0.498691480081419,0.6110814181364689,193,4861.0
34,FB,SybilGCN_L4_noDropout,45,0.7209211229197972,0.6218365871294288,0.6051556916794283,0.6894446059901134,0.6445562049748539,234,8003.0
35,FB,SybilGCN_L8_noDropout,45,0.6035610679571981,0.5563268257411424,0.5375734251569779,0.7717359697586508,0.6337153772683859,287,14015.0
36,FB,SybilRGCN_L2_noDropout,45,0.5850196651700255,0.5203181489515546,0.532620320855615,0.2896190753125908,0.37521190431343,2301,5567.0
