Unnamed: 0,variant,algorithm,AUC_mean,AUC_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,F1_mean,F1_std,runtime_mean,runtime_std,pretrain_runtime_mean,pretrain_runtime_std
0,facebook,SybilRank,0.4488596943978971,0.0382173382851689,0.4286327345905409,0.0432550399615256,0.4297669029819694,0.0412258084760601,0.4294032564640787,0.042047393163803,0.4295732846743189,0.0415657178644637,1020.4,25.749563103089727,,
1,facebook,SybilBelief,0.6272350285204137,0.0401239336463907,0.603859281140667,0.0096548652819181,0.7401238196303256,0.190416257606339,0.5771390922100152,0.3555667682856309,0.5349271108777798,0.1644195523608344,1684.2,29.21917178839948,,
2,facebook,SybilSCAR,0.6264764904076914,0.0174777075183562,0.547832602811287,0.0069629661885443,0.5734699889844078,0.0413185044525153,0.5010754799610992,0.2366729671150011,0.4969922622539695,0.1176980049454386,723.2,25.245989780557228,,
3,facebook,SybilGCN_L2_noDropout,0.8075039918493353,0.0078435295046308,0.6527678568859341,0.0300562773945557,0.8710883656209409,0.0557564282141887,0.3705539107808986,0.1041999265514156,0.5072998499136399,0.0922674963763497,208.4,13.690872872099863,5657.6,675.2385060110242
4,facebook,SybilGCN_L4_noDropout,0.689902854897765,0.0242228776957547,0.5938752250117217,0.0255386364523709,0.6080130834232343,0.0544202104603556,0.5824040443576058,0.1020959330314304,0.5853112710141002,0.0437722804104381,236.2,10.961751684835775,9319.6,1240.647991978385
5,facebook,SybilGCN_L8_noDropout,0.6207768392120714,0.0670532679012261,0.5829084233700281,0.0193373971078083,0.5690480664674111,0.0298089612508116,0.750151905418574,0.1536133417014645,0.6361956797273998,0.0538068663941825,294.0,15.349267083479914,14297.0,5836.725383294986
6,facebook,SybilRGCN_L2_noDropout,0.6518471273995682,0.1075714711345975,0.5724697248337154,0.096675705580368,0.6325696575885191,0.1460095866630536,0.3722860368875748,0.1063529739631192,0.4637929691314806,0.1173044743240668,2303.6,65.78024019414948,6425.4,614.2965407683816
7,facebook,SybilGAT_L2,0.746597870792437,0.0168781579960986,0.629298853843743,0.0208287551526475,0.7364946933605397,0.0758214396738013,0.4658463608281753,0.2092789137604407,0.5324382737021041,0.1147856504829482,290.2,6.305553108173778,1484.4,462.934811825596
8,facebook,SybilGAT_L4,0.5973273989678118,0.0291256106020108,0.5475748765407091,0.0433339348502094,0.6153554386503968,0.1804482690612698,0.4859375055889289,0.1661614687116356,0.5034057463568976,0.0806683028949966,459.6,9.134549797335389,2172.6,1294.7079361771132
9,facebook,SybilGAT_L8,0.4488384264021486,0.0338871193744663,0.5779891292695628,0.0086911471450541,0.6837688883445037,0.1755217567000651,0.6469788864370024,0.3900501600704593,0.5318306723929073,0.2069180509814146,833.8,12.448293055676348,1739.4,432.3418092204361
10,barabasi-albert,SybilRank,0.5088121252351046,0.0822055362312782,0.4936859273832001,0.0596152370870123,0.4916176604179227,0.0583496850048274,0.4943274528349695,0.0612264499266165,0.49296373136876,0.0597771656338232,368.2,2.3151673805580453,,
11,barabasi-albert,SybilBelief,0.5099560452216728,0.005718868498771,0.5017561832201594,0.0021718680213351,inf,,0.4,0.4898979485566356,0.2666039005571786,0.3265220400441096,199.4,15.932357013323546,,
12,barabasi-albert,SybilSCAR,0.6122586050657693,0.0137327349306177,0.5095787349766427,0.0117164497881539,0.5200756501899861,0.040481212432551,0.449912662214891,0.3987858051354374,0.3817933117898454,0.2274593249747876,185.8,63.101188578346125,,
13,barabasi-albert,SybilGCN_L2_noDropout,0.7474187435920286,0.0102557160680125,0.5072821742540625,0.0052407659521758,inf,,0.0124372092422701,0.0080446471195839,0.0243856444966881,0.0156600343179875,127.6,13.54400236266961,3602.6,37.0599514300815
14,barabasi-albert,SybilGCN_L4_noDropout,0.7905897825221974,0.0144745642766883,0.6550860899470052,0.0220301282954826,0.7919408984281604,0.0209175396935609,0.4181923923123459,0.0623244617877939,0.5442862888992479,0.0531059970434194,132.4,1.8547236990991407,5726.8,94.52280148197048
15,barabasi-albert,SybilGCN_L8_noDropout,0.5035425217761931,0.0046443327370794,0.5016144616332403,0.004263790385279,0.500498905021111,0.0043168347573717,0.7001842020252244,0.1379708801607869,0.5776000422281383,0.0478904337372458,160.8,2.227105745132009,10238.4,167.0611863958831
16,barabasi-albert,SybilRGCN_L2_noDropout,0.6049915233466225,0.0408446950006149,0.4987568624584599,0.0178899074111448,0.513046398626846,0.0693767974578996,0.2383046675782273,0.0960060554037104,0.3092018959984289,0.0868831489884155,837.2,8.518215775618742,4016.6,93.40792257619265
17,barabasi-albert,SybilGAT_L2,0.7486042490989352,0.0094600413934667,0.5246479097722434,0.0324130728252938,0.8600773669259345,0.0919136533842541,0.0640519284484326,0.0986009815213234,0.1008027240532084,0.1449259841339757,159.8,3.487119154832538,593.6,91.03318076393904
18,barabasi-albert,SybilGAT_L4,0.800749273091682,0.0098681944513422,0.6233283734167119,0.0605510944339455,0.8038051300096589,0.0849731509582608,0.3800697566261671,0.260285740045265,0.4495840583747957,0.2071633680888071,239.0,6.356099432828281,543.6,120.1742068831744
