,variant,algorithm,AUC_mean,AUC_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,F1_mean,F1_std,runtime_mean,runtime_std,pretrain_runtime_mean,pretrain_runtime_std
0,BA-BA,SybilRank,0.8072022320000001,0.009705515759295612,0.7247263157894738,0.007446161330481443,0.7247173728905,0.007307015746168977,0.7247368421052631,0.007814185552242512,0.7247265732442446,0.0075387481579341584,1529.2,145.25067986071528,,
1,BA-BA,SybilBelief,0.514063425,0.001260552361982583,0.5,0.0,inf,,0.4,0.48989794855663565,0.26666666666666666,0.3265986323710904,1263.2,135.2218917187598,,
2,BA-BA,SybilSCAR,0.6739753980000001,0.006893334064492749,0.6009157894736842,0.03296513057451787,0.6223185269479184,0.02144507040235146,0.5168631578947369,0.1722633093732751,0.5477783773807948,0.11049164751503987,764.2,75.74008185894705,,
3,BA-BA,SybilGCN_L2_noDropout,0.738663349,0.004671524557898008,0.5204,0.011236495742227516,0.8572961205355343,0.027967319002929755,0.05010526315789473,0.029560248819137287,0.09282951928552448,0.05090868336996138,511.8,5.878775382679627,9856.6,630.4733459869656
4,BA-BA,SybilGCN_L4_noDropout,0.782607408,0.0047263563717706136,0.6846210526315789,0.011850799147872402,0.699943947809253,0.035064640317880195,0.6629473684210526,0.10399874280083932,0.6733285865820033,0.04592291305162134,549.0,11.541230437002806,15628.6,868.3360179101176
5,BA-BA,SybilGCN_L8_noDropout,0.7745107389999999,0.140361758436133,0.6991473684210525,0.09969786156737784,inf,,0.6050526315789473,0.3047090215461865,0.6002693458535042,0.30034836160872913,615.8,17.35972350010218,23367.6,11495.938110480589
6,BA-BA,SybilRGCN_L2_noDropout,0.622813471,0.0550426753727413,0.4889894736842105,0.020161217260880923,0.5210558233731376,0.16862662209355517,0.09772631578947369,0.034765321658625586,0.15681886383000299,0.044417232586460985,3041.8,60.171089403466844,11090.8,332.46377246250455
7,BA-BA,SybilGAT_L2,0.7453217590000001,0.0057224734522804,0.552021052631579,0.054969813927402876,0.8130814481091898,0.10357376706973254,0.20105263157894737,0.2714851816915913,0.2308516698384917,0.24116286549363822,602.4,12.831211945876351,2387.6,335.5953515768656
8,BA-BA,SybilGAT_L4,0.8080768949999999,0.005692566966574075,0.7085157894736842,0.01572880977899192,0.7193764629653527,0.05007534380445381,0.7085894736842105,0.09942836283063326,0.7061954371416505,0.025698270467831026,791.8,12.204917041913886,2225.2,534.556788377063
9,BA-BA,SybilGAT_L8,0.859144147,0.003879626928097119,0.7547894736842105,0.004683086796020148,0.7787479340841859,0.05182281221306612,0.7289263157894736,0.0916117158555305,0.7461422829501809,0.023213499397563758,1295.0,150.0133327407934,2916.6,1307.8012998923039
10,BA-PL,SybilRank,0.63128764,0.010555501318762652,0.5900631578947368,0.010436373639192994,0.589176369306158,0.010272499577855669,0.5949894736842106,0.010851115315999008,0.5920684030295117,0.01055501764955049,1471.4,17.281203661782357,,
11,BA-PL,SybilBelief,0.515306912,0.0034830251457742887,0.5,0.0,inf,,0.4,0.48989794855663565,0.26666666666666666,0.3265986323710904,1708.6,446.7435953653952,,
12,BA-PL,SybilSCAR,0.66441181,0.007556915059527949,0.5984631578947368,0.015386629444130011,0.6163129451254973,0.011600926147618143,0.524421052631579,0.08735921321168127,0.5622720849976082,0.05261700463846035,840.2,82.93467308671326,,
13,BA-PL,SybilGCN_L2_noDropout,0.7280309299999999,0.0036086647397174025,0.5568315789473685,0.034529932416484395,0.7921495768049296,0.10297898033257928,0.24444210526315793,0.2907338343531299,0.2785119793025406,0.20791294919753298,508.8,5.344155686354955,10005.2,1029.2174502990124
