,variant,algorithm,AUC_mean,AUC_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,F1_mean,F1_std,runtime_mean,runtime_std,pretrain_runtime_mean,pretrain_runtime_std
0,BA,SybilRank,0.7363074,0.3440105519222339,0.6990526315789474,0.29453760183033806,0.7057974127974129,0.2962673538247209,0.6913684210526316,0.2885112421416283,0.698498014906238,0.2923443894917092,134.0,2.1908902300206643,,
1,BA,SybilBelief,0.5035045,0.003228088970273264,0.5,0.0,inf,,0.0,0.0,0.0,0.0,91.8,10.925200226998129,,
2,BA,SybilSCAR,0.7266424,0.026277623215199605,0.5214736842105263,0.022005791229706546,inf,,0.05347368421052632,0.05511368256195703,0.09458775416328609,0.09483727593418999,79.2,41.40241538847703,,
3,BA,SybilGCN_L2_noDropout,0.8215896,0.01577305309507326,0.5041052631578948,0.005107161882403437,1.0,0.0,0.008210526315789474,0.010214323764806908,0.016086583400474294,0.019814452992960703,58.8,7.222188034107115,12862.6,780.271388684732
4,BA,SybilGCN_L4_noDropout,0.9199919999999999,0.015230748464865424,0.6985263157894737,0.07752644084743548,0.9396960387557203,0.05034178036284147,0.43705263157894736,0.18993324384928925,0.5646597496541872,0.17935603068749706,67.0,5.0990195135927845,37082.8,31508.74618514675
5,BA,SybilGCN_L8_noDropout,0.5361701,0.03306081135785997,0.5146315789473684,0.021653017932740187,0.576712099257161,0.14313737312882227,0.5732631578947369,0.2351830547723997,0.504215104047509,0.15892221074598326,76.0,2.0976176963403033,31354.0,15514.916912442684
6,BA,SybilRGCN_L2_noDropout,0.6117928,0.11555670517568419,0.5072631578947367,0.07328493324308356,inf,,0.27705263157894733,0.1626326349820934,0.32764459424986947,0.18263285179677072,450.4,13.893883546366725,14334.6,908.1476972387256
7,BA,SybilGAT_L2,0.8461814000000001,0.011748579328582727,0.507578947368421,0.006629072207929996,0.9642857142857142,0.05532833351724883,0.01557894736842105,0.013304863418378913,0.030329858934514935,0.02564986426064134,73.8,3.54400902933387,3751.2,677.7083148375855
8,BA,SybilGAT_L4,0.9593247,0.007394194280650208,0.709578947368421,0.0638483313664699,0.9907003648959961,0.011432176561963292,0.42463157894736836,0.13441837362866385,0.5818524486440261,0.12185345878877776,116.6,14.44437606821423,52446.4,98750.49328403377
9,BA,SybilGAT_L8,0.9842337000000001,0.0007337983783029096,0.8408421052631578,0.05718861246893377,0.9922289640405794,0.007748751146841342,0.688,0.1203772463567896,0.805873895061336,0.08416687474222272,191.0,19.3597520645281,5249.6,1596.4341013646635
10,PL,SybilRank,0.5885828,0.1783075750924789,0.5583157894736842,0.14067955374575677,0.5585580282232876,0.14088314201024524,0.5606315789473684,0.13890366138736016,0.5595853007624065,0.13987940856081268,164.2,56.9505048265597,,
11,PL,SybilBelief,0.5067292999999999,0.004244102032232479,0.5,0.0,inf,,0.0,0.0,0.0,0.0,116.2,51.56122574183046,,
12,PL,SybilSCAR,0.6819495999999999,0.026789666415243014,0.516736842105263,0.02027894122146695,inf,,0.0431578947368421,0.05685379996655562,0.07543658569636026,0.09427253598551313,116.6,51.643392607380086,,
13,PL,SybilGCN_L2_noDropout,0.7961414,0.028856358804256646,0.520421052631579,0.01030504273728035,0.942553057612899,0.027303134098415515,0.0431578947368421,0.02143856777785426,0.08172387397062245,0.03931254998623655,66.8,20.62425756239482,14290.4,2767.4932773179416
14,PL,SybilGCN_L4_noDropout,0.8612252999999999,0.036346439893887826,0.6661052631578948,0.0813879597975032,0.8994131133834001,0.060660909873148976,0.39473684210526316,0.2252228198019836,0.5039376814983452,0.19515957401667727,72.4,24.311314238436392,78127.8,103716.28074588868
15,PL,SybilGCN_L8_noDropout,0.5304911999999999,0.021899986362096197,0.5111578947368421,0.01830308089047041,0.5179628195573156,0.026861915845416563,0.5688421052631579,0.2159569055194838,0.518452499546022,0.0909878866098491,88.4,29.32984827782101,91019.8,118507.23466084256
16,PL,SybilRGCN_L2_noDropout,0.5837742,0.07735344410599959,0.49368421052631584,0.023293859236209524,inf,,0.14673684210526317,0.14033691158587822,0.18799986464369764,0.1535011813155325,534.2,183.4321672989773,15556.0,3103.445762374461
17,PL,SybilGAT_L2,0.8045437999999999,0.037401930111426084,0.5390526315789474,0.03646939292747572,0.9394385026737968,0.07758931583376719,0.09242105263157893,0.09064227579151364,0.1530080572807772,0.14264539239651422,87.6,25.223798286538845,3846.2,1155.9021411867009
18,PL,SybilGAT_L4,0.9032201000000001,0.020805034117732175,0.6775789473684212,0.07949675510372833,0.9638822334284374,0.01742298947559727,0.37242105263157893,0.1725691799935797,0.5121187246385339,0.18010324412304388,132.4,33.86207317929604,4342.6,1370.640813634265
19,PL,SybilGAT_L8,0.9654070000000001,0.0023045780524859564,0.758421052631579,0.046020590357383546,0.9902017792514084,0.005365240731584105,0.5225263157894737,0.0955951759929872,0.6783826954463212,0.08438694786635895,221.8,55.75446170487166,7070.6,3508.5920024990082
