,variant,algorithm,seed,AUC,accuracy,precision,recall,F1,runtime,pretrain_runtime
0,BA,SybilRank,42,0.778591,0.7126315789473684,0.7176724137931034,0.7010526315789474,0.7092651757188498,133,
1,BA,SybilBelief,42,0.5020835,0.5,inf,0.0,0.0,94,
2,BA,SybilSCAR,42,0.713322,0.5178947368421053,0.9722222222222222,0.03684210526315789,0.07099391480730223,59,
3,BA,SybilGCN_L2_noDropout,42,0.8381660000000001,0.5026315789473684,1.0,0.005263157894736842,0.010471204188481676,56,13166.0
4,BA,SybilGCN_L4_noDropout,42,0.943491,0.5973684210526315,0.9946524064171123,0.1957894736842105,0.32717678100263853,69,21012.0
5,BA,SybilGCN_L8_noDropout,42,0.555841,0.5226315789473684,0.5169692186266772,0.6894736842105263,0.5908885881822282,78,38810.0
6,BA,SybilRGCN_L2_noDropout,42,0.555254,0.49526315789473685,0.4945054945054945,0.4263157894736842,0.4578858111927643,460,15485.0
7,BA,SybilGAT_L2,42,0.840004,0.5136842105263157,0.9642857142857143,0.028421052631578948,0.05521472392638037,74,2723.0
8,BA,SybilGAT_L4,42,0.9622535000000001,0.8226315789473684,0.9751937984496124,0.6621052631578948,0.7887147335423198,114,3553.0
9,BA,SybilGAT_L8,42,0.9841850000000001,0.861578947368421,0.9928263988522238,0.728421052631579,0.8403157255616271,207,2590.0
10,BA,SybilRank,43,0.9654590000000001,0.91,0.9210810810810811,0.8968421052631579,0.9088,136,
11,BA,SybilBelief,43,0.502497,0.5,inf,0.0,0.0,80,
12,BA,SybilSCAR,43,0.7578879999999999,0.5,inf,0.0,0.0,59,
13,BA,SybilGCN_L2_noDropout,43,0.8290995,0.5005263157894737,1.0,0.0010526315789473684,0.002103049421661409,53,13599.0
14,BA,SybilGCN_L4_noDropout,43,0.91555,0.7368421052631579,0.9213483146067416,0.5178947368421053,0.6630727762803235,64,23172.0
15,BA,SybilGCN_L8_noDropout,43,0.49437699999999996,0.49526315789473685,0.4963855421686747,0.6505263157894737,0.5630979498861047,76,42372.0
16,BA,SybilRGCN_L2_noDropout,43,0.42262949999999994,0.3863157894736842,0.3632911392405063,0.3021052631578947,0.32988505747126434,473,15312.0
17,BA,SybilGAT_L2,43,0.8641970000000001,0.5173684210526316,1.0,0.034736842105263156,0.0671414038657172,73,4508.0
18,BA,SybilGAT_L4,43,0.9689805,0.6884210526315789,1.0,0.37684210526315787,0.5474006116207951,116,2010.0
19,BA,SybilGAT_L8,43,0.985151,0.7536842105263157,1.0,0.5073684210526316,0.6731843575418994,218,6937.0
20,BA,SybilRank,44,0.06333100000000001,0.13157894736842105,0.13541666666666666,0.1368421052631579,0.13612565445026178,133,
21,BA,SybilBelief,44,0.509066,0.5,inf,0.0,0.0,109,
