,data_model_column,graph_size_column,train_nodes_fraction_column,label_noise_fraction_column,attack_edges_per_sybil,algorithm,AUC_mean,AUC_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,F1_mean,F1_std,runtime_mean,runtime_std,pretrain_runtime_mean,pretrain_runtime_std
0,PL,2000,0.05,0.0,2,SybilRank,0.9999538000000001,2.098952119511738e-05,0.9967368421052631,0.0011721609184905304,0.9966320216946152,0.0010319065920992164,0.996842105263158,0.001331485330597185,0.9967370082228191,0.001172399626018812,72.0,0.6324555320336759,,
1,PL,2000,0.05,0.0,2,SybilBelief,0.9999768,1.4837789592776838e-05,0.9976842105263157,0.0014355980733669208,0.9981118667671728,0.0027614907142526845,0.9972631578947369,0.001263157894736855,0.9976847546397313,0.001431719276353711,127.2,11.855800268223145,,
2,PL,2000,0.05,0.0,2,SybilSCAR,0.9852930000000001,0.0046498121682493326,0.8465263157894738,0.08759362225230657,0.9049593363273498,0.14722285717004707,0.8347368421052632,0.10433273004937994,0.8511785995831083,0.058962797814514877,42.4,26.8,,
3,PL,2000,0.05,0.0,2,SybilGCN_L2_noDropout,0.955804,0.005435037773557756,0.5199999999999999,0.00800968942305128,1.0,0.0,0.04,0.016019378846102567,0.07646626275322387,0.029658630791449297,8155.0,447.47647982882853,,
4,PL,2000,0.05,0.0,2,SybilGCN_L4_noDropout,0.9966146,0.0014237900968892445,0.7464210526315789,0.060040060495188785,1.0,0.0,0.4928421052631579,0.12008012099037754,0.6521456065542625,0.10123433770867225,13730.6,370.73904569117076,,
5,PL,2000,0.05,0.0,2,SybilGCN_L8_noDropout,0.9991742,0.00042648957783274904,0.9234736842105263,0.04504426877622155,0.9984581497797358,0.003083700440528636,0.8484210526315789,0.09166239392375587,0.9145462505308004,0.05401867219742705,24806.0,613.182843856545,,
6,PL,2000,0.05,0.0,2,SybilRGCN_L2_noDropout,0.9377139,0.027140202800274,0.5209473684210526,0.029708463403278422,0.9945945945945945,0.010810810810810787,0.042105263157894736,0.05940051390881715,0.07497463021357371,0.10211934797275822,8955.0,545.438539159088,,
7,PL,2000,0.05,0.0,2,SybilGAT_L2,0.9628014,0.010684025062681212,0.5378947368421052,0.036036300565523566,1.0,0.0,0.07578947368421052,0.07207260113104712,0.1330930794816108,0.11667928656497996,2704.8,1787.9573149267294,,
8,PL,2000,0.05,0.0,2,SybilGAT_L4,0.9908002,0.0070023998857534405,0.7555789473684211,0.09552746120815389,0.9953528128303754,0.0056921564498679115,0.5143157894736842,0.194082656521202,0.6553798588703282,0.1750236669895836,2657.8,691.3787384639478,,
9,PL,2000,0.05,0.0,2,SybilGAT_L8,0.9997208000000001,0.000431610194504277,0.8982105263157895,0.05599228280818726,0.9990593962999025,0.001261555236051441,0.797263157894737,0.11287352272771498,0.8825629803918865,0.06680254074845447,2828.2,634.1332352116549,,
10,PL,2000,0.05,0.0,4,SybilRank,0.9790262000000001,0.01319747423411014,0.9256842105263159,0.019404999784089123,0.9249984402913738,0.01995981287296378,0.9265263157894736,0.018704881078939948,0.9257605835658789,0.019317665334807024,79.4,1.019803902718557,,
11,PL,2000,0.05,0.0,4,SybilBelief,0.963344,0.02479818935325718,0.882421052631579,0.06495905379822053,0.9159024845066055,0.11373637569319728,0.875157894736842,0.10583759052372192,0.8831229355746771,0.058084489890670256,163.6,1.2,,
12,PL,2000,0.05,0.0,4,SybilSCAR,0.8692032,0.016539244050439553,0.6564210526315789,0.06475643691467013,0.7932014012858157,0.13575658745123179,0.5473684210526316,0.24353627429503583,0.5942251447737079,0.09540024710934676,46.8,28.102668912400475,,
13,PL,2000,0.05,0.0,4,SybilGCN_L2_noDropout,0.8681908,0.009610601009302158,0.5121052631578947,0.0025998082179428277,1.0,0.0,0.02421052631578947,0.00519961643588567,0.04722601255402294,0.009938018814121641,9095.8,281.4742617007814,,
14,PL,2000,0.05,0.0,4,SybilGCN_L4_noDropout,0.9298755999999999,0.010835862191814715,0.6551578947368422,0.049862303471452506,0.9723682436099768,0.02546454028117777,0.32126315789473686,0.1063093275785051,0.47189921754040204,0.12253389456495654,15782.4,251.0813414015466,,
15,PL,2000,0.05,0.0,4,SybilGCN_L8_noDropout,0.8999896,0.04807256876993363,0.732842105263158,0.10710473296131541,0.9296635413767864,0.08334676921185227,0.5288421052631579,0.2561151057013644,0.616979346080438,0.26381649047518274,23586.2,11563.162480913255,,
16,PL,2000,0.05,0.0,4,SybilRGCN_L2_noDropout,0.8325561,0.026160872620002565,0.5148421052631578,0.01866574328279397,0.9501059322033898,0.050684325177812614,0.03263157894736842,0.041591603670030265,0.05976024507746515,0.07367763191124163,10061.6,695.773123941993,,
17,PL,2000,0.05,0.0,4,SybilGAT_L2,0.8838387999999998,0.024243930460220345,0.514,0.005465581046630387,0.992,0.016000000000000014,0.028421052631578948,0.011721609184905309,0.054983268706667865,0.02181808524459847,4022.0,2998.2093322515025,,
18,PL,2000,0.05,0.0,4,SybilGAT_L4,0.9447411000000001,0.012112074274871305,0.697578947368421,0.09547409040707418,0.9595488426010046,0.039213905723963216,0.42336842105263156,0.22305995864868836,0.548513324766588,0.200438243730224,2090.4,301.3387462640674,,
19,PL,2000,0.05,0.0,4,SybilGAT_L8,0.9817116,0.003042622066573492,0.8144210526315788,0.05203088790707777,0.9892921276494903,0.008247999700355443,0.6366315789473684,0.11008412799062844,0.7685835989860956,0.08107593182830218,3746.0,1439.1076401715056,,
