,data_model_column,graph_size_column,train_nodes_fraction_column,label_noise_fraction_column,attack_edges_per_sybil,algorithm,seed,AUC,accuracy,precision,recall,F1,runtime,pretrain_runtime
37,BA,2000,0.05,0.0,2,SybilGAT_L2,45,0.9561299999999999,0.5021052631578947,1.0,0.004210526315789474,0.008385744234800839,1507,
38,BA,2000,0.05,0.0,2,SybilGAT_L4,45,0.9992240000000001,0.6510526315789473,1.0,0.3021052631578947,0.46402586903799514,1747,
39,BA,2000,0.05,0.0,2,SybilGAT_L8,45,0.9998819999999999,0.9084210526315789,1.0,0.8168421052631579,0.899188876013905,2774,
40,BA,2000,0.05,0.0,2,SybilRank,46,0.999998,0.9989473684210526,0.9989473684210526,0.9989473684210526,0.9989473684210526,72,
41,BA,2000,0.05,0.0,2,SybilBelief,46,0.999979,0.9978947368421053,0.9968487394957983,0.9989473684210526,0.9978969505783386,112,
42,BA,2000,0.05,0.0,2,SybilSCAR,46,0.9864589999999999,0.9315789473684211,0.9691075514874142,0.891578947368421,0.9287280701754386,109,
43,BA,2000,0.05,0.0,2,SybilGCN_L2_noDropout,46,0.9695710000000001,0.5168421052631579,1.0,0.03368421052631579,0.06517311608961303,7429,
44,BA,2000,0.05,0.0,2,SybilGCN_L4_noDropout,46,0.999548,0.8952631578947369,1.0,0.7905263157894736,0.8830099941211053,12434,
45,BA,2000,0.05,0.0,2,SybilGCN_L8_noDropout,46,0.999716,0.9510526315789474,1.0,0.9021052631578947,0.9485334809075816,22990,
46,BA,2000,0.05,0.0,2,SybilRGCN_L2_noDropout,46,0.963634,0.5,inf,0.0,0.0,8313,
47,BA,2000,0.05,0.0,2,SybilGAT_L2,46,0.959083,0.5057894736842106,1.0,0.011578947368421053,0.022892819979188347,1723,
48,BA,2000,0.05,0.0,2,SybilGAT_L4,46,0.999484,0.7452631578947368,1.0,0.4905263157894737,0.6581920903954802,1705,
49,BA,2000,0.05,0.0,2,SybilGAT_L8,46,0.999999,0.8952631578947369,1.0,0.7905263157894736,0.8830099941211053,2826,
50,BA,2000,0.05,0.0,4,SybilRank,42,0.995302,0.9642105263157895,0.9642105263157895,0.9642105263157895,0.9642105263157895,80,
51,BA,2000,0.05,0.0,4,SybilBelief,42,0.9862899999999999,0.9384210526315789,0.9612403100775194,0.9136842105263158,0.9368591473286563,164,
52,BA,2000,0.05,0.0,4,SybilSCAR,42,0.909718,0.5194736842105263,0.9111111111111111,0.0431578947368421,0.08241206030150754,33,
53,BA,2000,0.05,0.0,4,SybilGCN_L2_noDropout,42,0.901355,0.5063157894736842,1.0,0.01263157894736842,0.02494802494802495,8039,
54,BA,2000,0.05,0.0,4,SybilGCN_L4_noDropout,42,0.96744,0.6447368421052632,0.992831541218638,0.29157894736842105,0.45077298616761596,13770,
55,BA,2000,0.05,0.0,4,SybilGCN_L8_noDropout,42,0.9756400000000001,0.9142105263157895,0.912041884816754,0.9168421052631579,0.9144356955380577,3767,
56,BA,2000,0.05,0.0,4,SybilRGCN_L2_noDropout,42,0.9211860000000001,0.5026315789473684,1.0,0.005263157894736842,0.010471204188481676,8847,
57,BA,2000,0.05,0.0,4,SybilGAT_L2,42,0.8888849999999998,0.6142105263157894,0.8677966101694915,0.2694736842105263,0.41124497991967873,1420,
58,BA,2000,0.05,0.0,4,SybilGAT_L4,42,0.9628399999999999,0.8289473684210527,0.7597672485453034,0.9621052631578947,0.8490478402229448,2491,
59,BA,2000,0.05,0.0,4,SybilGAT_L8,42,0.9946510000000001,0.9342105263157895,0.8858746492048644,0.9968421052631579,0.9380881624566617,2482,
60,BA,2000,0.05,0.0,4,SybilRank,43,0.995036,0.9636842105263158,0.964172813487882,0.9631578947368421,0.9636650868878357,80,
61,BA,2000,0.05,0.0,4,SybilBelief,43,0.9888109999999999,0.9452631578947368,0.9471458773784355,0.9431578947368421,0.9451476793248945,166,
62,BA,2000,0.05,0.0,4,SybilSCAR,43,0.8813129999999999,0.7047368421052631,0.645041014168531,0.9105263157894737,0.7551287647315583,32,
63,BA,2000,0.05,0.0,4,SybilGCN_L2_noDropout,43,0.8832955,0.5347368421052632,0.9852941176470589,0.07052631578947369,0.13163064833005894,8206,
64,BA,2000,0.05,0.0,4,SybilGCN_L4_noDropout,43,0.964181,0.791578947368421,0.9859649122807017,0.5915789473684211,0.7394736842105263,14409,
65,BA,2000,0.05,0.0,4,SybilGCN_L8_noDropout,43,0.9737899999999999,0.8742105263157894,0.9622886866059818,0.7789473684210526,0.8609656777196044,25287,
66,BA,2000,0.05,0.0,4,SybilRGCN_L2_noDropout,43,0.8977229999999999,0.5031578947368421,1.0,0.00631578947368421,0.012552301255230125,8953,
67,BA,2000,0.05,0.0,4,SybilGAT_L2,43,0.892738,0.501578947368421,1.0,0.003157894736842105,0.0062959076600209865,2412,
68,BA,2000,0.05,0.0,4,SybilGAT_L4,43,0.9744010000000001,0.8905263157894737,0.9602977667493796,0.8147368421052632,0.8815489749430524,2119,
69,BA,2000,0.05,0.0,4,SybilGAT_L8,43,0.994608,0.9168421052631579,0.9962406015037594,0.8368421052631579,0.9096109839816934,3797,
70,BA,2000,0.05,0.0,4,SybilRank,44,0.994544,0.9642105263157895,0.9651898734177216,0.9631578947368421,0.964172813487882,80,
71,BA,2000,0.05,0.0,4,SybilBelief,44,0.985322,0.9336842105263158,0.9557522123893806,0.9094736842105263,0.9320388349514563,163,
72,BA,2000,0.05,0.0,4,SybilSCAR,44,0.8965710000000001,0.7836842105263158,0.874826147426982,0.6621052631578948,0.7537447573397243,34,
73,BA,2000,0.05,0.0,4,SybilGCN_L2_noDropout,44,0.8959929999999999,0.501578947368421,1.0,0.003157894736842105,0.0062959076600209865,8113,
74,BA,2000,0.05,0.0,4,SybilGCN_L4_noDropout,44,0.9658739999999999,0.6947368421052632,0.9973118279569892,0.39052631578947367,0.5612708018154312,13855,
75,BA,2000,0.05,0.0,4,SybilGCN_L8_noDropout,44,0.012637999999999998,0.5,inf,0.0,0.0,349,
76,BA,2000,0.05,0.0,4,SybilRGCN_L2_noDropout,44,0.8912490000000001,0.5078947368421053,1.0,0.015789473684210527,0.031088082901554404,8701,
77,BA,2000,0.05,0.0,4,SybilGAT_L2,44,0.905934,0.5021052631578947,1.0,0.004210526315789474,0.008385744234800839,1886,
78,BA,2000,0.05,0.0,4,SybilGAT_L4,44,0.956575,0.8247368421052632,0.9873617693522907,0.6578947368421053,0.7896399241945673,3536,
79,BA,2000,0.05,0.0,4,SybilGAT_L8,44,0.994901,0.9084210526315789,0.9974358974358974,0.8189473684210526,0.8994219653179191,1806,
80,BA,2000,0.05,0.0,4,SybilRank,45,0.9943310000000001,0.9542105263157895,0.9546891464699684,0.9536842105263158,0.9541864139020537,79,
81,BA,2000,0.05,0.0,4,SybilBelief,45,0.987478,0.9368421052631579,0.959070796460177,0.9126315789473685,0.9352750809061489,162,
82,BA,2000,0.05,0.0,4,SybilSCAR,45,0.862135,0.7857894736842105,0.7409050576752441,0.8789473684210526,0.8040442946557534,33,
83,BA,2000,0.05,0.0,4,SybilGCN_L2_noDropout,45,0.885669,0.5057894736842106,1.0,0.011578947368421053,0.022892819979188347,8148,
84,BA,2000,0.05,0.0,4,SybilGCN_L4_noDropout,45,0.963629,0.6568421052631579,1.0,0.3136842105263158,0.4775641025641026,13458,
85,BA,2000,0.05,0.0,4,SybilGCN_L8_noDropout,45,0.971834,0.8910526315789473,0.936545240893067,0.8389473684210527,0.8850638534147696,25100,
86,BA,2000,0.05,0.0,4,SybilRGCN_L2_noDropout,45,0.810163,0.5036842105263157,1.0,0.007368421052631579,0.014629049111807733,8836,
87,BA,2000,0.05,0.0,4,SybilGAT_L2,45,0.8831819999999999,0.5,inf,0.0,0.0,1631,
88,BA,2000,0.05,0.0,4,SybilGAT_L4,45,0.973363,0.5963157894736842,1.0,0.19263157894736843,0.323036187113857,1883,
89,BA,2000,0.05,0.0,4,SybilGAT_L8,45,0.9940715,0.7573684210526316,1.0,0.5147368421052632,0.6796386379430159,2268,
90,BA,2000,0.05,0.0,4,SybilRank,46,0.9964160000000001,0.9710526315789474,0.9725448785638859,0.9694736842105263,0.9710068529256721,80,
