,data_model_column,graph_size_column,train_nodes_fraction_column,label_noise_fraction_column,attack_edges_per_sybil,algorithm,AUC_mean,AUC_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,F1_mean,F1_std,runtime_mean,runtime_std,pretrain_runtime_mean,pretrain_runtime_std
108,PL,1000,0.05,0.0,6,SybilGAT_L4,0.8282295,0.013035201885663305,0.6736842105263158,0.056087584851865706,0.8306568842868419,0.06410688587459948,0.46189473684210525,0.192580838873926,0.5604664373580026,0.1491903244398277,2322.0,728.3331655224825,,
109,PL,1000,0.05,0.0,6,SybilGAT_L8,0.8677214,0.02044950003398617,0.7376842105263158,0.027972285452972978,0.7944366947362802,0.06872577828320736,0.6741052631578948,0.16208694359916395,0.7109906335631663,0.06305996993986397,4376.4,1406.277013962754,,
110,PL,1000,0.05,0.0,8,SybilRank,0.6305909999999999,0.02910560448436008,0.596,0.015010983974716539,0.5949633665051011,0.014912560599554689,0.6014736842105263,0.015072860900773654,0.5981987583030287,0.014950649478357806,94.2,0.4,,
111,PL,1000,0.05,0.0,8,SybilBelief,0.5129488,0.003208268264967868,0.5,0.0,inf,,0.2,0.4,0.13333333333333333,0.26666666666666666,99.8,15.778466338652816,,
112,PL,1000,0.05,0.0,8,SybilSCAR,0.6651168000000001,0.01896490157527845,0.5401052631578948,0.025149745431929507,0.585951745048263,0.05208740915803466,0.41726315789473684,0.29048252911834765,0.43265422851033375,0.13069888776383742,56.2,31.90861952513772,,
113,PL,1000,0.05,0.0,8,SybilGCN_L2_noDropout,0.7338811,0.0074148735552267125,0.5021052631578947,0.0023300993285451017,0.7,0.37583240945932267,0.0054736842105263155,0.005043852021351974,0.010819361093659299,0.009910877550268168,9379.4,226.61826934296363,,
114,PL,1000,0.05,0.0,8,SybilGCN_L4_noDropout,0.7234399,0.00954664880678028,0.5895789473684211,0.03074405106521057,0.7441514326588472,0.03644362439475502,0.27789473684210525,0.10048083843184609,0.39262103896245676,0.10922541157171442,16438.2,201.00985050489442,,
115,PL,1000,0.05,0.0,8,SybilGCN_L8_noDropout,0.5151456,0.14422122581173688,0.535157894736842,0.037155658200173074,inf,,0.19747368421052633,0.17476042960645494,0.25277193871948633,0.21548045538617416,9465.4,12552.970733655042,,
116,PL,1000,0.05,0.0,8,SybilRGCN_L2_noDropout,0.7359783,0.027385457176391962,0.5130526315789473,0.020119862431585547,inf,,0.034105263157894736,0.054153163314370735,0.059494513935105665,0.09124955438842251,10131.6,164.70409830966562,,
117,PL,1000,0.05,0.0,8,SybilGAT_L2,0.7341139999999999,0.014204329790595533,0.5258947368421053,0.03965418380989335,0.8803255198604036,0.13176272269795838,0.08294736842105263,0.13580399759128173,0.1181539844202614,0.17827854681126878,2074.2,1218.0693576311655,,
118,PL,1000,0.05,0.0,8,SybilGAT_L4,0.7438956000000001,0.014414680667291947,0.6421052631578947,0.020511465613325838,0.6835612088299291,0.03000251078432499,0.5362105263157895,0.07323653478763745,0.5971588239634763,0.042155966290614424,2876.4,638.3800122184277,,
119,PL,1000,0.05,0.0,8,SybilGAT_L8,0.7266155000000001,0.030179882345695127,0.6298947368421053,0.03586895199823274,0.6857750961623211,0.03486257877675002,0.49284210526315786,0.1425923814851892,0.5581077113974888,0.10420680733007076,1966.2,642.7159248065976,,
120,PL,1000,0.05,0.0,10,SybilRank,0.4280196,0.033409234996329994,0.4367368421052632,0.029128428964865553,0.43736586064024535,0.028945229108925972,0.4418947368421053,0.029521765293403134,0.4396150970729497,0.029208214280011247,101.8,0.9797958971132712,,
121,PL,1000,0.05,0.0,10,SybilBelief,0.5108721999999999,0.0011612554240992585,0.5,0.0,inf,,0.4,0.48989794855663565,0.26666666666666666,0.3265986323710904,94.2,17.37124060048677,,
122,PL,1000,0.05,0.0,10,SybilSCAR,0.6090556,0.016110146884494865,0.5122105263157894,0.015116903638750507,0.5268914245257121,0.03247323675931423,0.3951578947368421,0.3034199160064528,0.3979906969797894,0.1467875111922414,44.0,0.6324555320336759,,
123,PL,1000,0.05,0.0,10,SybilGCN_L2_noDropout,0.7161928000000001,0.012324765286203234,0.5013684210526316,0.0014355980733669093,0.9199999999999999,0.16,0.003157894736842105,0.0027449273285063782,0.006278392681310259,0.005437280482758734,9811.0,236.87296173265534,,
124,PL,1000,0.05,0.0,10,SybilGCN_L4_noDropout,0.6953485,0.015553123814848257,0.5587368421052631,0.011418020456091941,0.7266628248871239,0.0781597000420482,0.20652631578947372,0.06576176258497447,0.31204617370083054,0.079135689518976,16684.0,653.4119680569066,,
125,PL,1000,0.05,0.0,10,SybilGCN_L8_noDropout,0.5127404,0.08956098116110607,0.5224210526315789,0.032062266290260745,inf,,0.22884210526315787,0.29004659096556873,0.23628683182719357,0.24630306994345932,7924.8,11889.067169462876,,
126,PL,1000,0.05,0.0,10,SybilRGCN_L2_noDropout,0.7193373999999999,0.028678693886577185,0.5083157894736842,0.011975968550170862,inf,,0.022315789473684212,0.033303107256059256,0.040944632667583754,0.05953969482356655,83777.4,112997.85274526237,,
127,PL,1000,0.05,0.0,10,SybilGAT_L2,0.7064605,0.027795380134115776,0.5394736842105263,0.04505213969234674,inf,,0.18884210526315787,0.22913794850697117,0.22029884359454416,0.25050309750867805,3081.6,1933.2145871578766,,
128,PL,1000,0.05,0.0,10,SybilGAT_L4,0.6961875000000001,0.018503342392659747,0.595578947368421,0.025482816979659765,0.6578532594858768,0.027326637836740587,0.41957894736842105,0.157293733376625,0.4915155337902359,0.11137733810487675,3277.2,905.2375157935071,,
129,PL,1000,0.05,0.0,10,SybilGAT_L8,0.6005664,0.12423547334573971,0.5685263157894738,0.039508616122593286,inf,,0.40294736842105267,0.22564885818948002,0.4331035316070917,0.2252943825577197,2002.0,941.7870247566591,,
130,PL,1000,0.05,0.0,12,SybilRank,0.191605,0.03939952360625697,0.24968421052631581,0.035280592704866054,0.252103450241416,0.0354981524440965,0.25473684210526315,0.036488528915020295,0.2534128307131268,0.03598885406964167,109.8,1.9390719429665317,,
131,PL,1000,0.05,0.0,12,SybilBelief,0.5125246000000001,0.007083330102430656,0.5,0.0,inf,,0.4,0.48989794855663565,0.26666666666666666,0.3265986323710904,91.2,12.351518125315609,,
