,data_model_column,graph_size_column,train_nodes_fraction_column,label_noise_fraction_column,attack_edges_per_sybil,algorithm,seed,AUC,accuracy,precision,recall,F1,runtime,pretrain_runtime
37,PL,1000,0.05,0.0,2,SybilGAT_L2,45,0.960656,0.5073684210526316,1.0,0.014736842105263158,0.029045643153526972,1065,
38,PL,1000,0.05,0.0,2,SybilGAT_L4,45,0.99788,0.58,1.0,0.16,0.27586206896551724,887,
39,PL,1000,0.05,0.0,2,SybilGAT_L8,45,0.999936,0.8821052631578947,1.0,0.7642105263157895,0.8663484486873508,1952,
40,PL,1000,0.05,0.0,2,SybilRank,46,0.999988,0.9978947368421053,0.9978947368421053,0.9978947368421053,0.9978947368421053,34,
41,PL,1000,0.05,0.0,2,SybilBelief,46,0.999988,0.9989473684210526,1.0,0.9978947368421053,0.9989462592202318,58,
42,PL,1000,0.05,0.0,2,SybilSCAR,46,0.980984,0.6652631578947369,1.0,0.33052631578947367,0.49683544303797467,15,
43,PL,1000,0.05,0.0,2,SybilGCN_L2_noDropout,46,0.946972,0.5336842105263158,1.0,0.06736842105263158,0.126232741617357,5038,
44,PL,1000,0.05,0.0,2,SybilGCN_L4_noDropout,46,0.997,0.7105263157894737,1.0,0.42105263157894735,0.5925925925925926,8607,
45,PL,1000,0.05,0.0,2,SybilGCN_L8_noDropout,46,0.9996799999999999,0.8652631578947368,1.0,0.7305263157894737,0.8442822384428224,15764,
46,PL,1000,0.05,0.0,2,SybilRGCN_L2_noDropout,46,0.9553239999999998,0.5368421052631579,1.0,0.07368421052631578,0.13725490196078433,5645,
47,PL,1000,0.05,0.0,2,SybilGAT_L2,46,0.943076,0.5252631578947369,1.0,0.05052631578947368,0.09619238476953908,1046,
48,PL,1000,0.05,0.0,2,SybilGAT_L4,46,0.988884,0.6789473684210526,1.0,0.35789473684210527,0.5271317829457365,1322,
49,PL,1000,0.05,0.0,2,SybilGAT_L8,46,0.999984,0.9515789473684211,1.0,0.9031578947368422,0.9491150442477876,1868,
50,PL,1000,0.05,0.0,4,SybilRank,42,0.9921800000000001,0.9547368421052631,0.9537815126050421,0.9557894736842105,0.9547844374342797,37,
51,PL,1000,0.05,0.0,4,SybilBelief,42,0.9567960000000001,0.8610526315789474,0.9914040114613181,0.728421052631579,0.8398058252427184,82,
52,PL,1000,0.05,0.0,4,SybilSCAR,42,0.877036,0.5063157894736842,1.0,0.01263157894736842,0.02494802494802495,17,
53,PL,1000,0.05,0.0,4,SybilGCN_L2_noDropout,42,0.867076,0.5042105263157894,1.0,0.008421052631578947,0.016701461377870562,5791,
54,PL,1000,0.05,0.0,4,SybilGCN_L4_noDropout,42,0.9355680000000001,0.5715789473684211,1.0,0.1431578947368421,0.2504604051565378,9800,
55,PL,1000,0.05,0.0,4,SybilGCN_L8_noDropout,42,0.9194000000000001,0.8084210526315789,0.9867109634551495,0.6252631578947369,0.7654639175257731,2493,
56,PL,1000,0.05,0.0,4,SybilRGCN_L2_noDropout,42,0.8635200000000001,0.5126315789473684,1.0,0.02526315789473684,0.049281314168377825,6286,
57,PL,1000,0.05,0.0,4,SybilGAT_L2,42,0.8652119999999999,0.5231578947368422,1.0,0.04631578947368421,0.08853118712273642,1564,
58,PL,1000,0.05,0.0,4,SybilGAT_L4,42,0.964276,0.7673684210526316,0.9884615384615385,0.5410526315789473,0.6993197278911565,1997,
59,PL,1000,0.05,0.0,4,SybilGAT_L8,42,0.9893320000000001,0.8726315789473684,0.9971910112359551,0.7473684210526316,0.8543922984356197,2873,
60,PL,1000,0.05,0.0,4,SybilRank,43,0.974712,0.9189473684210526,0.9180672268907563,0.92,0.9190325972660357,37,
61,PL,1000,0.05,0.0,4,SybilBelief,43,0.9766480000000001,0.9189473684210526,0.8768939393939394,0.9747368421052631,0.9232303090727817,82,
62,PL,1000,0.05,0.0,4,SybilSCAR,43,0.884064,0.5578947368421052,0.5308641975308642,0.9957894736842106,0.6925329428989752,16,
63,PL,1000,0.05,0.0,4,SybilGCN_L2_noDropout,43,0.9020240000000002,0.5126315789473684,1.0,0.02526315789473684,0.049281314168377825,5704,
64,PL,1000,0.05,0.0,4,SybilGCN_L4_noDropout,43,0.9548760000000001,0.8052631578947368,0.9588607594936709,0.6378947368421053,0.7661188369152971,9814,
65,PL,1000,0.05,0.0,4,SybilGCN_L8_noDropout,43,0.9292199999999999,0.8494736842105263,0.8029197080291971,0.9263157894736842,0.8602150537634409,17777,
