,graph_size,algorithm,seed,AUC,accuracy,precision,recall,F1,runtime,pretrain_runtime
0,2000,SybilRank,42,0.5925739999999999,0.5626315789473684,0.5616580310880829,0.5705263157894737,0.5660574412532637,101,
1,2000,SybilBelief,42,0.510695,0.5,0.5,1.0,0.6666666666666666,112,
2,2000,SybilSCAR,42,0.627042,0.5284210526315789,0.5189606741573034,0.7778947368421053,0.6225779275484414,42,
3,2000,SybilGCN_L2_noDropout,42,0.7160199999999999,0.5026315789473684,1.0,0.005263157894736842,0.010471204188481676,53,8637.0
4,2000,SybilGCN_L4_noDropout,42,0.730358,0.5778947368421052,0.8083333333333333,0.20421052631578948,0.32605042016806723,92,14679.0
5,2000,SybilGCN_L8_noDropout,42,0.6121785,0.5457894736842105,0.5662100456621004,0.391578947368421,0.46297448662103297,68,28245.0
6,2000,SybilRGCN_L2_noDropout,42,0.605822,0.48947368421052634,0.4635036496350365,0.1336842105263158,0.20751633986928106,266,10545.0
7,2000,SybilGAT_L2,42,0.7235480000000001,0.5178947368421053,0.9473684210526315,0.037894736842105266,0.0728744939271255,74,2419.0
8,2000,SybilGAT_L4,42,0.734311,0.5705263157894737,0.8252427184466019,0.17894736842105263,0.29411764705882354,98,2556.0
9,2000,SybilGAT_L8,42,0.732524,0.6478947368421053,0.707533234859675,0.5042105263157894,0.5888137676705593,155,7497.0
10,2000,SybilRank,43,0.626261,0.5931578947368421,0.5917098445595855,0.6010526315789474,0.5963446475195823,101,
11,2000,SybilBelief,43,0.508229,0.5,0.5,1.0,0.6666666666666666,82,
12,2000,SybilSCAR,43,0.67161,0.5105263157894737,0.5056306306306306,0.9452631578947368,0.6588407923697726,42,
13,2000,SybilGCN_L2_noDropout,43,0.7299869999999999,0.5036842105263157,0.8888888888888888,0.008421052631578947,0.016684045881126174,55,9344.0
14,2000,SybilGCN_L4_noDropout,43,0.742386,0.6263157894736842,0.742914979757085,0.3863157894736842,0.5083102493074793,73,16017.0
15,2000,SybilGCN_L8_noDropout,43,0.6064674999999999,0.5542105263157895,0.5477293790546802,0.6221052631578947,0.582552981764416,72,27337.0
16,2000,SybilRGCN_L2_noDropout,43,0.6617525,0.501578947368421,0.5789473684210527,0.011578947368421053,0.022703818369453045,273,10426.0
17,2000,SybilGAT_L2,43,0.730257,0.5036842105263157,0.8181818181818182,0.009473684210526316,0.018730489073881373,68,2419.0
18,2000,SybilGAT_L4,43,0.751814,0.6057894736842105,0.8551236749116607,0.25473684210526315,0.39253852392538524,91,1962.0
19,2000,SybilGAT_L8,43,0.7329975,0.6505263157894737,0.692722371967655,0.5410526315789473,0.607565011820331,209,1433.0
20,2000,SybilRank,44,0.671218,0.6110526315789474,0.6097814776274714,0.6168421052631579,0.6132914704343275,100,
21,2000,SybilBelief,44,0.5090565,0.5,inf,0.0,0.0,123,
22,2000,SybilSCAR,44,0.6839839999999999,0.5789473684210527,0.6353790613718412,0.3705263157894737,0.46808510638297873,42,
23,2000,SybilGCN_L2_noDropout,44,0.7385025,0.5057894736842106,1.0,0.011578947368421053,0.022892819979188347,55,9227.0
24,2000,SybilGCN_L4_noDropout,44,0.752491,0.6578947368421053,0.6802884615384616,0.5957894736842105,0.6352413019079686,59,15277.0
25,2000,SybilGCN_L8_noDropout,44,0.366523,0.5,inf,0.0,0.0,65,405.0
26,2000,SybilRGCN_L2_noDropout,44,0.573446,0.5057894736842106,0.5297297297297298,0.1031578947368421,0.1726872246696035,281,10571.0
27,2000,SybilGAT_L2,44,0.7451135,0.56,0.8097826086956522,0.1568421052631579,0.26278659611992944,72,2536.0
28,2000,SybilGAT_L4,44,0.775029,0.6684210526315789,0.7359882005899705,0.5252631578947369,0.6130221130221131,86,2340.0
29,2000,SybilGAT_L8,44,0.7591365,0.671578947368421,0.6771739130434783,0.6557894736842105,0.6663101604278074,134,2064.0
30,2000,SybilRank,45,0.612363,0.5715789473684211,0.5712788259958071,0.5736842105263158,0.5724789915966386,102,
31,2000,SybilBelief,45,0.501676,0.5,inf,0.0,0.0,115,
32,2000,SybilSCAR,45,0.6638229999999999,0.5689473684210526,0.5486988847583643,0.7768421052631579,0.6431372549019608,44,
33,2000,SybilGCN_L2_noDropout,45,0.728691,0.5057894736842106,1.0,0.011578947368421053,0.022892819979188347,54,9422.0
34,2000,SybilGCN_L4_noDropout,45,0.739633,0.6373684210526316,0.7261698440207972,0.44105263157894736,0.5487884741322855,60,17280.0
35,2000,SybilGCN_L8_noDropout,45,0.7189635,0.5957894736842105,0.7935483870967742,0.25894736842105265,0.3904761904761905,68,27057.0
36,2000,SybilRGCN_L2_noDropout,45,0.5899475,0.4963157894736842,0.4797687861271676,0.08736842105263158,0.14781834372217276,364,10169.0
37,2000,SybilGAT_L2,45,0.7332109999999998,0.5078947368421053,1.0,0.015789473684210527,0.031088082901554404,69,2443.0
38,2000,SybilGAT_L4,45,0.748934,0.5536842105263158,0.9396551724137931,0.11473684210526315,0.2045028142589118,89,2153.0
39,2000,SybilGAT_L8,45,0.7299175,0.6589473684210526,0.6506986027944112,0.6863157894736842,0.6680327868852459,220,1580.0
40,2000,SybilRank,46,0.559851,0.5278947368421053,0.5276907001044933,0.531578947368421,0.529627687467226,103,
41,2000,SybilBelief,46,0.5119025,0.5,inf,0.0,0.0,84,
42,2000,SybilSCAR,46,0.672585,0.5078947368421053,0.6415094339622641,0.035789473684210524,0.06779661016949153,123,
43,2000,SybilGCN_L2_noDropout,46,0.7425409999999999,0.5057894736842106,0.8666666666666667,0.01368421052631579,0.02694300518134715,53,9393.0
