,graph_size,algorithm,AUC_mean,AUC_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,F1_mean,F1_std,runtime_mean,runtime_std,pretrain_runtime_mean,pretrain_runtime_std
0,2000,SybilRank,0.6124534,0.03689482140680451,0.5732631578947369,0.028277218887882892,0.5724237758750881,0.02787762746169748,0.5787368421052632,0.029212375474898074,0.5755600476542077,0.028513975533985575,101.4,1.019803902718557,,
1,2000,SybilBelief,0.5083118000000001,0.003554378828993899,0.5,0.0,inf,,0.4,0.48989794855663565,0.26666666666666666,0.3265986323710904,103.2,16.89260193102294,,
2,2000,SybilSCAR,0.6638088,0.019476739392413702,0.5389473684210526,0.029606842063160138,0.5700357369760807,0.05760239653318914,0.5812631578947368,0.33207308210084674,0.49208753827452895,0.2228224920183688,58.6,32.20931542271583,,
3,2000,SybilGCN_L2_noDropout,0.7311482999999999,0.009166572672487803,0.5047368421052632,0.0013314853305972376,0.9511111111111111,0.06028737762778017,0.010105263157894739,0.002947368421052632,0.019976779041866337,0.0057746504843808185,54.0,0.8944271909999159,9204.6,291.49998284734085
4,2000,SybilGCN_L4_noDropout,0.7390056,0.008327092808417603,0.6127368421052631,0.03577460991655173,0.7460056094442212,0.0431254463448134,0.36189473684210527,0.154115328978135,0.46262187104523844,0.13126518573245058,68.4,13.001538370516005,15727.8,884.6457822202059
5,2000,SybilGCN_L8_noDropout,0.5640498999999999,0.11783741130786946,0.5376842105263158,0.037854657167277025,inf,,0.41726315789473684,0.28246842296493807,0.4103879827683438,0.22066762125375466,69.6,3.49857113690718,22273.2,10945.27624868372
6,2000,SybilRGCN_L2_noDropout,0.6268252999999999,0.04836760720626978,0.5198947368421053,0.04355325965519457,0.5552787956714862,0.09375970542047192,0.13578947368421052,0.11121489766485369,0.20328800246895923,0.1452648416964147,299.0,35.93883693165375,10411.0,146.17386907378486
7,2000,SybilGAT_L2,0.7336851,0.007101585206135284,0.5183157894736843,0.02155557142085961,0.9150665695860205,0.08478461215027437,0.04484210526315789,0.05716322549533459,0.07877308125145831,0.09458236214221073,69.4,3.4409301068170506,2330.4,251.42442204368294
8,2000,SybilGAT_L4,0.7530792,0.013098015229797198,0.5834736842105264,0.050858121047226014,0.8292664694014376,0.06795279730109723,0.22505263157894734,0.16455752810309732,0.320203808585853,0.17603089929508184,91.8,4.261455150532504,2095.0,371.95698676056617
9,2000,SybilGAT_L8,0.7374109,0.010916375476319972,0.6494736842105263,0.017585564465274532,0.6860205976030618,0.02043601304399424,0.5597894736842105,0.10062937676515761,0.6099266943986121,0.055300031509506846,172.4,35.18295041635934,2840.4,2337.777457329932
10,4000,SybilRank,0.7082748,0.0337897698332646,0.6511578947368422,0.030679109443278934,0.6495553016450054,0.030217967732104948,0.6564210526315789,0.03116465076113818,0.6529695665234488,0.03068289809376206,224.8,0.9797958971132713,,
11,4000,SybilBelief,0.512798575,0.0021400224730128664,0.5,0.0,inf,,0.6,0.48989794855663565,0.4,0.3265986323710904,216.0,23.340951137432253,,
12,4000,SybilSCAR,0.6672619,0.0032713261019042153,0.5599473684210527,0.026328102382611105,0.5790363219645689,0.04793569390163198,0.6056842105263158,0.27422202218553404,0.5481284299802643,0.12093210799436381,127.6,47.55039432013156,,
13,4000,SybilGCN_L2_noDropout,0.7299270499999999,0.01031940078250671,0.5174736842105263,0.017097245084331133,0.9217600517326637,0.059014113198992225,0.040842105263157895,0.042137619146890834,0.07447469413784605,0.07447919489478422,119.0,24.091492274244864,10085.4,514.3149229800745
14,4000,SybilGCN_L4_noDropout,0.732538625,0.015038269604578821,0.6080526315789474,0.009492087388540495,0.7089991233683082,0.06938253672818573,0.43663157894736837,0.2264510244666481,0.5000046436842125,0.10252140440952606,115.6,10.63202708800161,16409.0,817.5081650968386
15,4000,SybilGCN_L8_noDropout,0.5817098750000002,0.11032346931129952,0.5525789473684211,0.03611170726595531,inf,,0.4053684210526316,0.24371760598722456,0.4229191015837386,0.2180246430249704,128.2,5.844655678480983,23614.8,11691.186276849752
16,4000,SybilRGCN_L2_noDropout,0.5981569999999999,0.0501629618182704,0.5142631578947369,0.033150960009997996,0.5389964615085429,0.09792658914680258,0.17515789473684212,0.0734442709939193,0.25814117949831145,0.09175402381804398,560.0,27.33495930123182,10613.6,370.5210385389742
17,4000,SybilGAT_L2,0.73781995,0.0064274133957603966,0.5364736842105262,0.021415685348532953,0.8438004690178603,0.07047521139998018,0.09578947368421054,0.06572333517635574,0.16376038019131509,0.09467318015153933,128.4,9.830564581955606,2368.4,458.92509192677625
18,4000,SybilGAT_L4,0.75289195,0.01311104971784296,0.6366842105263159,0.025649782793246395,0.7345838336663908,0.05203270426874234,0.45852631578947367,0.1685859061613179,0.5409629860219436,0.09971623921895158,183.6,15.291827882892221,2121.2,634.2656856554672
19,4000,SybilGAT_L8,0.7335127,0.017643318533973423,0.6518947368421053,0.024193014261521272,0.6772555540271229,0.017706668557754743,0.5830526315789474,0.09664648434520567,0.6219439107925934,0.05444742559717167,296.2,28.72907934480324,3279.4,1733.4864983610341
20,8000,SybilRank,0.62625995,0.009352763264338003,0.5847631578947369,0.00834604754930686,0.5839638957685656,0.008367169063535258,0.589578947368421,0.007828847854299005,0.586757486591013,0.008088236763507168,476.0,6.723094525588644,,
21,8000,SybilBelief,0.5126629375,0.0013200836082659809,0.5,0.0,inf,,0.4,0.48989794855663565,0.26666666666666666,0.3265986323710904,402.6,50.6185736661949,,
22,8000,SybilSCAR,0.6736384,0.01168972123274864,0.5503421052631579,0.02735837366179289,0.6110159251755319,0.07901759868614039,0.4595263157894737,0.3172549504753362,0.43601246737486177,0.22204531039970885,217.6,59.45620236779339,,
23,8000,SybilGCN_L2_noDropout,0.7327223,0.007620371911666083,0.522078947368421,0.011749167472127077,0.9073788385492675,0.056437505564151655,0.05136842105263158,0.02886898478555276,0.09537439746514678,0.051767546873387936,210.2,21.198113123577766,38954.4,53182.581865118205
24,8000,SybilGCN_L4_noDropout,0.73391570625,0.008625113977453419,0.6212631578947369,0.017647008174388235,0.7220088736659152,0.04476182778655839,0.41605263157894734,0.1264782945914835,0.5126275315732025,0.07937758319052556,213.6,12.240914998479484,18405.0,3839.70634293822
25,8000,SybilGCN_L8_noDropout,0.62791811875,0.093024436250831,0.5825263157894737,0.056660003138710384,inf,,0.41184210526315795,0.21895729987596912,0.4493141366299323,0.23270084232428068,258.0,34.246167668806386,48189.8,37169.4490376169
26,8000,SybilRGCN_L2_noDropout,0.57500403125,0.04057852353459955,0.4688421052631579,0.0188314068422014,0.41249982413821995,0.05426202284850253,0.13705263157894737,0.021739072142520906,0.20444823979599464,0.026108685431516756,6493.0,9894.386812733774,66321.0,111465.80411946976
27,8000,SybilGAT_L2,0.7400072999999999,0.008097416124252094,0.5576052631578948,0.04778192323845543,0.8283564007996806,0.09258107912261412,0.17773684210526314,0.18242469702072275,0.24482286003357964,0.19603397042412474,239.8,8.840814442120138,7453.2,10197.468262269807
28,8000,SybilGAT_L4,0.75986595625,0.00881458904003842,0.6351052631578947,0.020699739717608315,0.7311042749548089,0.07538194126256056,0.4950526315789473,0.22300909885416145,0.5503268958529766,0.11107324051016712,331.2,14.715977711317723,2335.2,707.5872808353752
29,8000,SybilGAT_L8,0.7360502625,0.019878175396538453,0.6486315789473684,0.023490818622533913,0.7079582856930731,0.01733629565071003,0.5116315789473684,0.10088080237631263,0.5868760361274639,0.06662420223109405,501.4,34.977707186149296,7654.8,9741.649868477105
30,16000,SybilRank,0.7083209,0.010609023162753143,0.6522763157894736,0.00918008126144638,0.6505246976783596,0.009127377009964773,0.6581052631578947,0.00900930574615494,0.6542929790355316,0.009068353490183489,1095.0,41.842562063047716,,
31,16000,SybilBelief,0.512529646875,0.0019819053311548773,0.5,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.0,12516.0,22869.546851654057,,
32,16000,SybilSCAR,0.6555893625,0.009252858722878366,0.5711315789473683,0.014193910851599623,0.5551185741991412,0.017870780288437357,0.7413947368421052,0.06318089493481827,0.6326960712331295,0.012697796099770472,592.0,29.366647748764244,,
33,16000,SybilGCN_L2_noDropout,0.7253490437500001,0.0038700511562973156,0.5366315789473683,0.021555804342010185,0.8455408954197299,0.03678379390058877,0.09376315789473685,0.06352756942904653,0.16133197753842793,0.09250699055095968,405.2,8.657944328765346,11902.4,976.0980688434948
